Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
4_09-12-12;PICHUCA (GB);1;57;4;J.E. JARCOVSKY;LABERINTO;G. GOMEZ;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
4_09-12-12;NOT SO BRIGHT (USA);8;57;4;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
4_09-12-12;CASTELLANA;10;56;3;F. JIMENEZ;YEGUADA CORTIÑAL;J. A. RODRIGUEZ;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
4_09-12-12;DOMINGO NEGRO (IRE);5;55;3;V. JANACEK;POPULAR;G. ARIZCORRETA;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
4_09-12-12;CANELA FINA;7;55;3;J.L. MARTINEZ;SOÑADOR;J. SALGUERO;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
4_09-12-12;EL AFRICANO;11;54;5;M. SECCI;LAS AGUILAS;A. GUTIERREZ;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
4_09-12-12;PANISIDE;6;54;3;J. GROSJEAN;DI BENISICHI;F. RODRIGUEZ;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
4_09-12-12;QUEENSIDE (USA);99;54;4;E. MELIAN (52);LA VICTORIA;J. A. RODRIGUEZ;12;Gran Hipódromo de Andalucía Javier Piñar Hafner;1500;HIERBA
;;;;;;;;;;;
Nº;CABALLO;POSICION;PESO;EDAD;JINETE;CUADRA;PREPARADOR;CAJON;HIPODROMO;DISTANCIA;PISTA
5_09-12-12;CELTIC ROCK (GB);1;58;3;J.L. MARTINEZ;HABIT;J. C. FERNANDEZ;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
5_09-12-12;FINLEY CONNOLLY (IRE);4;58;3;F. JIMENEZ;AMIGA;M. ALVAREZ;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
5_09-12-12;PASIEGA (IRE);5;57,5;3;J. GROSJEAN;BERING;J. L. MAROTO;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
5_09-12-12;CUENTISTA;6;57;3;V. JANACEK;ODISEA;I. GOMEZ;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
5_09-12-12;ALFACAR;2;56;3;J. HORCAJADA;EL FARGUE;M. DELCHER. S,;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
5_09-12-12;EXPATBET;3;55,5;3;A. GOMEZ;BETVICTOR;P. HALEY;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
