ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
2_22-04-2011;BARBECHO;12;3;54;J. HORCAJADA (54,5);TIZIANO;R. AON;3;Hipódromo Costa del Sol.;1300;ARENA
2_22-04-2011;MORANTE;4;3;54;B. FAYOS (55)(B.BL);Y. CORTIÑAL;J. A. RODRIGUEZ;6;Hipódromo Costa del Sol.;1300;ARENA
2_22-04-2011;MYLORD;99;3;54;SRTA. ZAPICO, S.;GAMMEL;E. LEON;10;Hipódromo Costa del Sol.;1300;ARENA
2_22-04-2011;MISS CLAUS;9;3;52,5;R. H. HUAYAS;NANINA;J. CALDERON;7;Hipódromo Costa del Sol.;1300;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
3_22-04-2011;CARMANOR (GB );99;5;62;J. CROCQUEVIEILLE;DUQUE DE ALBURQUERQUE;J. M. OSORIO;4;Hipódromo Costa del Sol.;2600;ARENA
3_22-04-2011;LE FEU DU CIEL(FR);99;5;62;V. JANACEK;SAYAGO;G. ARIZKORRETA;6;Hipódromo Costa del Sol.;2600;ARENA
3_22-04-2011;COMANCHE TRAIL(FR);7;5;60,5;SR. BENITEZ, D.;ASC. SOÑADOR & SUNSHINE RAC;P. HALEY;5;Hipódromo Costa del Sol.;2600;ARENA
3_22-04-2011;BLACKBERRY BOY(IRE);5;7;59;F. LYNCH;SUNSHINE RACING;P. HALEY;9;Hipódromo Costa del Sol.;2600;ARENA
3_22-04-2011;ZARIEVICH NUÑEZ(IRE);4;4;59;B. FAYOS;LUIS ALBERTO NUÑEZ;J. A. RODRIGUEZ;2;Hipódromo Costa del Sol.;2600;ARENA
3_22-04-2011;MUSTAQER (IRE);1;5;57,5;J. C. CERQUEIRA;SAN ACACIO;O. ANAYA;1;Hipódromo Costa del Sol.;2600;ARENA
3_22-04-2011;ERIKO;6;4;56;I. LOPEZ;INSTAGONZA;O. ANAYA;3;Hipódromo Costa del Sol.;2600;ARENA
3_22-04-2011;RED BARCELONA (IRE);2;4;56;F. ALVARADO (57);CASTILLO DE CHARETA;B. RAMA;8;Hipódromo Costa del Sol.;2600;ARENA
3_22-04-2011;SEMINOLE CRY(USA);3;6;54;J. L. MARTINEZ;CARRERAS INT.;J. L. EYRE;7;Hipódromo Costa del Sol.;2600;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
4_22-04-2011;LISSELAN CLANSMAN(IRE);3;6;62;R. RAMOS;LISSELAN FARMS;A. R. ACOSTA;10;Hipódromo Costa del Sol.;2100;ARENA
4_22-04-2011;BELIDO;8;7;61;J. E. JARCOVSKY;NORTENHA;J. CALDERON;3;Hipódromo Costa del Sol.;2100;ARENA
4_22-04-2011;CAPITAL;4;4;61;A. GOMEZ;BOBBY;I. GOMEZ;12;Hipódromo Costa del Sol.;2100;ARENA
4_22-04-2011;FUNES;12;5;61;F. LYNCH;COURTNEY;J. L. EYRE;9;Hipódromo Costa del Sol.;2100;ARENA
4_22-04-2011;REY MAMBO(IRE);2;4;61;M. GOMES;EL PINO;E. GALLARDO;11;Hipódromo Costa del Sol.;2100;ARENA
4_22-04-2011;GETXO (IRE);5;4;55;B. FAYOS;JIMENA;A. SANCHEZ;7;Hipódromo Costa del Sol.;2100;ARENA
4_22-04-2011;ESQUIMO GREEN (FR);7;5;55;D. DELGADO (55,5);BOADILLA DEL MONTE;B. RAMA;8;Hipódromo Costa del Sol.;2100;ARENA
4_22-04-2011;DROP RISK(FR);11;8;53;S. MARTIN (54);JOLAM;E. OLGADO;2;Hipódromo Costa del Sol.;2100;ARENA
4_22-04-2011;OLINA;1;4;53;J. HORCAJADA (54,5);KINGS RACING;B. RAMA;6;Hipódromo Costa del Sol.;2100;ARENA
4_22-04-2011;EUROBETIS;6;5;51;J. M. SANCHEZ C. (48);LA GOYA;E. GALLARDO;5;Hipódromo Costa del Sol.;2100;ARENA
4_22-04-2011;MISTER DRAGO(IRE);9;6;50;R. H. HUAYAS (52,5);ALBA Y LUCIA;J. C. MARTINEZ;4;Hipódromo Costa del Sol.;2100;ARENA
4_22-04-2011;DOVERY;10;5;50;R. NAYLOR (51)(B.V);COURTNEY;J. L. EYRE;1;Hipódromo Costa del Sol.;2100;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
5_22-04-2011;ARIETE ARROLLADOR(GB);99;4;59;J. L. BORREGO;ALBERO;G. ARIZKORRETA;8;Hipódromo Costa del Sol.;1200;ARENA
5_22-04-2011;BOMBADIL(IRE);9;4;59;B. FAYOS;JEREZANA;J.CALDERON;1;Hipódromo Costa del Sol.;1200;ARENA
5_22-04-2011;BORKEN(FR);6;6;59;J. E. JARCOVSKY;NANINA;J. CALDERON;7;Hipódromo Costa del Sol.;1200;ARENA
5_22-04-2011;CAMURAY;1;6;59;V. JANACEK;Y. CORTIÑAL;E. LEON;6;Hipódromo Costa del Sol.;1200;ARENA
5_22-04-2011;COMPTON PARK (GB);4;4;59;J. L. MARTINEZ;RACHAEL TEASDALE RACING;J. L EYRE;10;Hipódromo Costa del Sol.;1200;ARENA
5_22-04-2011;NEWBY(GB);8;6;59;D. DELGADO;ADRIANA;B. RAMA;3;Hipódromo Costa del Sol.;1200;ARENA
5_22-04-2011;STORMY MONTLIOUX(FR);5;4;59;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;4;Hipódromo Costa del Sol.;1200;ARENA
5_22-04-2011;BAHRAJ(USA);2;4;57,5;I. LOPEZ;B. P. SAN MATEO;O. ANAYA;5;Hipódromo Costa del Sol.;1200;ARENA
5_22-04-2011;BARKING (IRE);3;3;54;J. HORCAJADA(54,5)(B.BL);B. P. SAN MATEO;O. ANAYA;9;Hipódromo Costa del Sol.;1200;ARENA
5_22-04-2011;SALTERGATE(GB);7;3;54;J. CROCQUEVIEILLE(54,5);INSTAGONZA;O. ANAYA;2;Hipódromo Costa del Sol.;1200;ARENA
