ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
2_09-07-2011;GETXO (IRE);6;4;59,5;B. FAYOS;JIMENA;B. RAMA;5;Hipódromo Costa del Sol.;1800;ARENA
2_09-07-2011;COQUETA;4;3;57;R. RAMOS;COLISA;J. A. RODRIGUEZ;6;Hipódromo Costa del Sol.;1800;ARENA
2_09-07-2011;EUROBETIS;8;5;56,5;A. GOMEZ;LA GOYA;E. GALLARDO;7;Hipódromo Costa del Sol.;1800;ARENA
2_09-07-2011;EVA DE SARON;9;3;54;R. H. HUAYAS;LABERINTO;E.OLGADO;4;Hipódromo Costa del Sol.;1800;ARENA
2_09-07-2011;OTRANTO;7;4;51,5;M. GOMES;COMANSI;J. C. FERNANDEZ;8;Hipódromo Costa del Sol.;1800;ARENA
2_09-07-2011;DOVERY;3;5;50;R. NAYLOR (51);COURTNEY;J. L. EYRE;2;Hipódromo Costa del Sol.;1800;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
3_09-07-2011;KAYSERI;5;4;62;J. L. BORREGO;AREVACOS;A. CARRASCO;10;Hipódromo Costa del Sol.;1800;ARENA
3_09-07-2011;MISSIN;1;5;58;B. FAYOS;KINGS RACING;B. RAMA;2;Hipódromo Costa del Sol.;1800;ARENA
3_09-07-2011;COLELARA(FR);10;4;57;J. E. JARCOVSKY;SANLUQUEÑA;J. CALDERON;9;Hipódromo Costa del Sol.;1800;ARENA
3_09-07-2011;HERRI IRRATIA;2;3;55,5;J. HORCAJADA;MADROÑOS;B. RAMA;6;Hipódromo Costa del Sol.;1800;ARENA
3_09-07-2011;MEARI(ARG);9;4;54;M. GOMES;MI VIEJITA;J. C. FERNANDEZ;7;Hipódromo Costa del Sol.;1800;ARENA
3_09-07-2011;MAJOR DUDE (GB);6;3;53,5;R. NAYLOR (51,5);RACHAEL TEASDALE RACING;J. L . EYRE;1;Hipódromo Costa del Sol.;1800;ARENA
3_09-07-2011;FLOW BOY(IRE);4;7;53;J. CROCQUEVIEILLE(54,5);PADRONESA;J. A. RODRIGUEZ;3;Hipódromo Costa del Sol.;1800;ARENA
3_09-07-2011;MUNRO'S DRAGON(GB);7;3;52,5;R. H. HUAYAS;NANINA;J. CALDERON;5;Hipódromo Costa del Sol.;1800;ARENA
3_09-07-2011;SUISDIVIN (GB);8;5;52;A. GOMEZ;ODISEA;B. RAMA;8;Hipódromo Costa del Sol.;1800;ARENA
3_09-07-2011;CARA BLANCA(GB);3;3;50,5;V. SANCHEZ (48) (B. V.);RACHAEL TEASDALE RACING;J. L. EYRE;4;Hipódromo Costa del Sol.;1800;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
4_09-07-2011;DUENDE;3;3;57;J. CROCQUEVIEILLE;BLOKE;J. A. RODRIGUEZ;2;Hipódromo Costa del Sol.;1300;ARENA
4_09-07-2011;GREDOS;4;3;57;I. LOPEZ;INSTAGONZA;O. ANAYA;10;Hipódromo Costa del Sol.;1300;ARENA
4_09-07-2011;JOE JUNIOR(GB);8;3;57;F. ALVARADO;CASTILLO DE CHARETA;B. RAMA;7;Hipódromo Costa del Sol.;1300;ARENA
4_09-07-2011;BELLA LUCI(IRE);2;3;55,5;M. S. SALOKANTO (56,5);TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;4;Hipódromo Costa del Sol.;1300;ARENA
4_09-07-2011;MISS CORONITA;6;3;55,5;G. CARTER;B. P. SAN MATEO;O. ANAYA;3;Hipódromo Costa del Sol.;1300;ARENA
4_09-07-2011;THINK TWICE(IRE);1;3;55,5;F. LYNCH;SUNSHINE RACING;P. HALEY;6;Hipódromo Costa del Sol.;1300;ARENA
4_09-07-2011;LOCAL FIREFOX(SWE);12;3;55;R. NAYLOR (52)(B.R.);TRANSPORTES TRANSAIGUA S.L.;J. C. MARTINEZ;12;Hipódromo Costa del Sol.;1300;ARENA
4_09-07-2011;LISSELAN NYMPH(USA);5;3;53,5;M. GOMES;LISSELAN FARMS;A. R. ACOSTA;5;Hipódromo Costa del Sol.;1300;ARENA
4_09-07-2011;MIMBRERA;10;3;53,5;J. HORCAJADA (55);MADROÑOS;B. RAMA;8;Hipódromo Costa del Sol.;1300;ARENA
4_09-07-2011;MISS CLAUS;7;3;53,5;R. H. HUAYAS;NANINA;J. CALDERON;1;Hipódromo Costa del Sol.;1300;ARENA
4_09-07-2011;PARTOVIA;11;3;53,5;A. GOMEZ;SAN AMARO;J. C. LOPERA;11;Hipódromo Costa del Sol.;1300;ARENA
4_09-07-2011;ZAMBURIÑA;9;3;53,5;V. SANCHEZ (49,5);PEREIRA SAT;J. C. LOPERA;9;Hipódromo Costa del Sol.;1300;ARENA
;;;;;;;;;;;
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;KG;JINETE;CUADRA;ENTRENADOR;C.S.;HIPODROMO;DISTANCIA;PISTA
5_09-07-2011;KURUCHET (ARG);99;4;62;J. HORCAJADA;SAN ACACIO;J.CALDERON;2;Hipódromo Costa del Sol.;2200;ARENA
5_09-07-2011;BLACKBERRY BOY(IRE);2;7;60,5;F. LYNCH;SUNSHINE RACING;P. HALEY;5;Hipódromo Costa del Sol.;2200;ARENA
5_09-07-2011;CABO CAÑAVERAL (FR);1;6;60,5;J. CROCQUEVIEILLE;SALVADOR MARQUEZ;J. A. RODRIGUEZ;3;Hipódromo Costa del Sol.;2200;ARENA
5_09-07-2011;LE FEU DU CIEL(FR);3;5;60,5;V. JANACEK;SAYAGO;G. ARIZKORRETA;1;Hipódromo Costa del Sol.;2200;ARENA
5_09-07-2011;LISSELAN BEAUTY (USA);4;5;59;J. E. JARCOVSKY;LISSELAN FARMS;A. R. ACOSTA;6;Hipódromo Costa del Sol.;2200;ARENA
5_09-07-2011;LISSELAN STAR(IRE);5;4;59;R. RAMOS (B.B.);LISSELAN FARMS;A. R. ACOSTA;4;Hipódromo Costa del Sol.;2200;ARENA
