ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
4_12-01-2014;INDIAN LOU;3;7;61;J. CROCQUEVIEILLE;BARREIROS;ROSELL, J.C.;9;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_12-01-2014;PARIPE (GB);1;4;60;J.L. MARTINEZ;AFRICA;ALVAREZ, M.;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_12-01-2014;PENDENCIERO (USA);7;7;60;SR. DE JULIAN, N. (58);LA PAZ;RODRIGUEZ, J.A.;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_12-01-2014;THE BELONGER (USA);11;7;59;M. GOMES;GUAYCURU (A.A.);NYKANEN, K.;12;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_12-01-2014;HONG KONG BOY (FR);10;8;58;M.A. NARVAEZ (56);MAIA ALFE;VIDINHA, C.;11;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_12-01-2014;RIDGE CITY (IRE);9;7;58;J.E. JARCOVSKY;LABERINTO;GOMEZ, G.;8;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_12-01-2014;RAMALLAH;2;6;55;J. GELABERT (52);AREVACOS;GELABERT, B.;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
4_12-01-2014;AHORA NO (GB);6;5;55;R. SOUSA (53);FORMENTOR;ALVAREZ, M.;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;2100;HIERBA
;;;;;;;;;;;
ID;CABALLO;POSICION;EDAD;PESO;JINETE;CUADRA;PREPARADOR;CAJÓN;HIPODROMO;DISTANCIA;PISTA
5_12-01-2014;CAMURAY;5;9;59;J.L. MARTINEZ;GRUPO BOLAÑOS GRAN CANARIA;LEON, E;6;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
5_12-01-2014;SERGEI (IRE);3;6;59;J. CROCQUEVIEILLE;LA VICTORIA;RODRIGUEZ, J.A.;2;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
5_12-01-2014;DEVIL BLACK;7;4;57;A. GOMEZ;LA ESPIGA;GOMEZ, I.;7;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
5_12-01-2014;TAKAR (IRE);1;5;57;V. JANACEK;DI BENISICHI;RODRIGUEZ, F.;1;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
5_12-01-2014;RECIFE DO BRASIL;6;4;56;R. SOUSA;MAIA ALFE;VIDINHA, C.;3;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
5_12-01-2014;DAVID'S DIVINA (USA);2;4;54,5;M. GOMES;LISSELAN FARMS;NYKANEN, K.;5;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
5_12-01-2014;LOLITA PLUMA (GB);4;4;54,5;S. BERMEJO;ASOC. SAFSAF-LOS TONELES;RODRIGUEZ, F.;4;Gran Hipódromo de Andalucía Javier Piñar Hafner;1000;HIERBA
