Column1;Column2;[image];Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Hipódromo de Manacor 04-12-2020;Column16;Column17
Cuadras Fr;4;ELICIUS (FR);;J. FORTEZA R.;J. Forteza R.;;2050 Ca6;Timoko (fr)-Soiree De Bal (fr);11.792;;1.16.7;1167;5-7-3-5-0-D;21.11.20-5-MN-2050-A-1.18.3-J. FORTEZA R.;;
Rafel Oliver Ares;5;FLAVIA (FR);DP;M. RIERA B.;R. Oliver A.;;2050 Ec5;Gobernador (fr)-Agatha Des Charmes (fr);12.320;;1.16.7;;0-D;21.11.20-0-MN-2050-A-0-M. RIERA B.;;
Penya Bielet;6;DRINGEAT MAURITIUS (FR);;A. VALLS;M. A. Coll;;2050 Cc7;So Lovely Girl (fr)-Miss Mauritius (fr);13.208;;1.18.2;1196;0-5-0-0-6m-Dm;21.11.20-0-MN-2050-A-0-M. A. COLL;;
Cuadra Es Pintor;7;FALCO THORIS (FR);;J. A. HERNANDEZ N.;J. Bauza B.;;2050 Cc5;Oakwood Du Closet (fr)-I Love You Bea (fr);14.790;;1.16.4;1165;2-1-1;21.11.20-2-MN-2050-A-1.17.6-J. BAUZA B.;;
Hermanos Nicolau Llodra;8;DRIVE D'ESCURES (FR);;A. NICOLAU R. (AP);A. Nicolau R.;;2050 Cc7;Echo (fr)-Manga D'escures (fr);15.874;;1.17.8;1166;0-D-3m-D-6-5;21.11.20-0-MN-2050-A-0-A. NICOLAU R.;;
Cuadra Una Il·lusio Negra;9;AMADEUS JUSKE (FR);;F. SERVERA Ll.;A. A. Sebastia;;2050 Cc10;Nuage Noir (fr)-Kalinka D'ariane (fr);16.290;;1.16.4;1167;7-5-D-4-0-0;05.11.20-7-MN-2050-A-1.18.9-A. A. SEBASTIA C.;;
Cuadra Can Somereta;10;DON'T STOP DU METZ (FR);;A. VAQUER S.;A. Vaquer S.;;2050 Cc7;Millenium Wood (fr)-Una Rosa Du Metz (fr);16.990;;1.16.1;1161;6-5-2-6-3-0;21.11.20-6-MN-2050-A-1.18.5-A. VAQUER S.;;
Cuadra Zulima S.m.;11;CANADA BEACH (FR);;G. BARCELO;G. Barcelo;;2050 Cn8;Mon Bellouet (fr)-Petra Beach (fr);19.580;;1.16.3;1167;3-2-D-3-4-5;21.11.20-3-MN-2050-A-1.17.7-G. BARCELO;;
Quadra S'altell;12;CELADO (FR);;B. RIUTORT;B. Riutort;;2050 Cc8;Repeat Love (fr)-Roupala (fr);22.090;;1.15.7;;D-0-0-0-D-0;21.10.20-D-SP-2650-A-0-G. CANTALLOPS H.;;
5ª CARRERA;;Premi COPA D'OR;;;;;;;;;;;;;;A les 19:40
Al Trote Enganchado;;Distancia 2.050m.;;PLACA AZUL - NUMERO BLANCO;;;Matrícula 24€;;Forfait 20% del premio;;Cambio Conductor 18€;;;;;Autostart
;;1200€ en premios: 552 al 1º, 276 al 2º, 144 al 3º, 84 al 4º, 60 al 5º, 48 al 6º, 36 al 7º;;;;;De 3 i mes anys, nacionals de 1.300 / 1.999,99 €.;;;;;;;;;
PROPIETARIO;Nº;CABALLO;He.;CONDUCTOR;ENTRENADORDIST;;SCE;ORIGEN;SUMAS;;R.Abs;;R.Dist CLASIF.;ULTIMA CARRERA;;
Cuadra Cowboy;1;HISTORIA BOY;;G. RIERA;Mª. F. Sureda;;2050 Ec3;Chapeau De Font-Victoria De Font;1.404;;1.20.9;1209;D-1-D-D-1-5;21.11.20-D-MN-2050-A-0-G. RIERA;;
Cuadra Toni I Joan;2;GENNA BAMBINO;;M. RIERA B.;A. Vaquer S.;;2050 Ec4;S J's Photo (us)-Genova;1.410;;1.17.8;1209;1-D-2-7-D-1;29.11.20-1-MN-2050-A-1.20.9-M. RIERA B.;;
Cuadra Cas Bisbe;3;FLOR D'ABRIL;;G. BUSQUETS;G. Busquets;;2050 Ec5;Verdugo De Font-Nelca;1.456;;1.19.3;1193;D-6-3-0-0-5;17.10.20-D-MN-2375-A-0-Jme. FLUXA;;
Cuadra Es Sementeret;4;GENIUDA FB;;G. SUREDA;G. Sureda;;2050 Ec4;Royal De Perthuis (fr)-My Dream;1.510;;1.20.2;1202;0-5-0-D-3-4;29.11.20-0-MN-2050-A-0-T. CONTRERAS H.;;
Cuadra Es Pou De's Rafal;5;HOXON POU RAFAL;;D. GINARD;D. Ginard;;2050 Cc3;O'sullivan (fr)-Ona Pou Rafal;1.619;;1.19.5;1214;0-D-5-D-D-D;15.11.20-0-SP-2650-A-0-D. GINARD;;
Peña Bonanza;6;HANDICAP MAR;;A. VAQUER S.;A. Vaquer S.;;2050 Cc3;Quatrain (fr)-Ultra De Font;1.634;;1.18.7;1191;2-0-4-D-7-3;21.11.20-2-MN-2050-A-1.19.1-M. RIERA B.;;
Cuadra Ca'n Prim;7;HARLEY DE LLUNA;;A. RIERA B.;A. Riera B.;;2050 Ec3;Univers De Pan (fr)-Sally Can Wait (se);1.757;;1.18.7;1203;6-1-1-2-2-1;21.11.20-6-MN-2050-A-1.20.3-A. RIERA B.;;
Hnos Vazquez Pont;8;GOTA DE MAR;;A. VAZQUEZ P.;A. Vazquez P.;;2050 Ec4;Warren Boko (se)-Mar Rapsody;1.838;;1.18.3;;4-0-5-3-6-0;14.11.20-4-SP-1700-A-1.18.3-G. CRUELLAS;;
Cuadra Veni Pro;9;ELEGANCE DU LAHME;DA;G. DOBREV G.;G. Dobrev G.;;2050 Cn6;Mystere Du Lahme (fr)-Monita Ar;1.648;;1.19.3;;0-D(19)-0-6-R-;514.11.20-0-SP-1700-A-0-M. A. SALOM;;
;;;;;;;;;;;;;;;[image];
