[image];Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Hipódromo de Son Pardo 01-02-17
Cuadra Ladil;5;ATHOS D'ECAJEUL (FR);;F. BENNASAR;F. Bennasar;2150;Cc7;Ready Cash (fr)-Mutine D'ecajeul (fr);102.900;1.12.8;;D-R(16)-0-0-D-D;18.01.17-D-SP-2650-A-0-F. BENNASAR
Cuadra Toni I Joan;6;SAPHIR DU PARC (FR);;J. FLUXA;M. Andreu M;2150;Cc11;Gros Grain (fr)-Mesange Jenilou (fr);116.218;1.14.7;1157;5-D(16)-3-0-5-5;18.01.17-5-SP-2650-A-1.17.4-J. FLUXA
Cuadra Nadal Galmes;7;REVE DE LA SCIMA (FR);;M. GOMILA R. II;Jme. Fluxa;2150;Cc12;Jow Du Vro (fr)-Faveur De La Scima (fr);77.859;1.15.2;1160;5-7-5(16)-D-1-5;18.01.17-5-SP-2650-A-1.17.4-Jme. FLUXA
Hermanos Riera Riera;8;TONNERRE D'AVRIL (FR);;J. A. RIERA;Mª. Riera M.;2150;Cc10;Joao Panca (fr)-Notre Ascension (fr);81.840;1.14.6;;0;25.01.17-0-SP-2650-A-0-J. BAUZA B.
Quadra D'en Lucky;9;TWIST D'AVRIL (FR);D4;G. ANDREU;A. Janer R.;2150;Ca10;Carpe Diem (fr)-Madone De Juin (fr);116.264;1.15.5;;06-abr;18.01.17-4-SP-2650-A-1.16.9-G. ANDREU
Hermanos Civico;10;TERREFORT DU GILET (FR);;A. CIVICO R.;A. Civico R.;2150;Cc10;Gazouillis (fr)-Flanerie;123.717;1.15.2;1159;6(16)-6-0-D-R-3;18.01.17-6-SP-2650-A-1.17.4-Mª. RIERA M.
Cuadra Ca'n Prim;11;VAEVA PRIDE (FR);;A. RIERA B.;A. Riera B.;2150;Ec8;Kuadro Wild (fr)-Maeva Du Ponchet (fr);121.998;1.14.3;1156;0(16)-5-7-1-0-4;25.01.17-0-SP-2650-A-0-A. RIERA B.
Cuadra Son Oms;12;UTIQUE CLEVILLE (FR);;B. SAGRERA;B. Sagrera;2150;Cc9;Diamant Gede (fr)-Kalka Cleville (fr);65.390;1.16.2;;;
Cuadra Xico I Marc;13;TAMACHO MAG (FR);;A. FRONTERA;A. Frontera;2150;Cc10;Diamant Gede (fr)-Machinegun Du Lys (fr);108.291;1.15.3;1156;3-4(16)-3-5-4-5;18.01.17-3-SP-2650-A-1.16.7-J. RIERA S.
Peña Bailon;14;QUATAL DES ORMEAUX (FR);;G. FUSTER;M. Andreu M;2150;Cc13;Dahir De Prelong (fr)-Jamarina (fr);101.368;1.14.4;1151;1(16)-0-2-3-3-1;11.01.17-1-SP-2650-A-1.16.8-G. FUSTER
4ª CARRERA;;Premi NUMBELA (PREMIUM);;;;;Ganador;;Quiniela;;;Trio;A las 19:25
Al Trote Enganchado;;Distancia 2.650m.;;PLACA AZUL - NUMERO BLANCO;;Matrícula 36€;;;Forfait % del premio;;;Cambio Conductor 18;Autostart
4750€ en premios: 2.186 al 1º, 1.092 al 2º, 570 al 3º, 332 al 4º, 238 al 5º, 190 al 6º, 142 al 7º;;;;;;De 5 y más años, nacionales de 5.000 / 9.999,99€.;;;;;;;
PROPIETARIO;Nº;CABALLO;He.;CONDUCTOR;ENTRENADOR;DIST;SCE;ORIGEN;SUMAS;R.AbsR.Dist;;CLASIF.;ULTIMA CARRERA
Juan Jose Cladera Gonzalez;1;CADIVA CL;;Jme. FLUXA;J. Cladera M.;2650;Ec5;From Above (se)-Nadiva Cl Ia;7.092;1.17.9;1197;4-3(16)-1-1-1-D;25.01.17-4-SP-2150-A-1.17.9-Jme. FLUXA
Cdra Xures;2;CARRITX SR;;G. ANDREU;G. Andreu;2650;Cc5;Eole (fr)-Edda Vg (it);6.864;1.18.3;1197;(16)-2-4-3-2-1-4;15.11.16-2-SP-2650-A-1.20.8-G. ANDREU
Quadres Valls Rullan;3;ALGARROBO;;A. VALLS;A. Valls;2650;Cn7;Magistral-Hola Scot M;9.542;1.17.7;1199;5-R(16)-4-0-6-6;11.01.17-5-SP-2650-A-1.20.0-A. VALLS
Cuadra Froilan;4;VALKIRIA SES PLANES;DP;B. FUSTER;J. Bello;2650;Ec8;Brandy Dei Fiori (it)-Epilog Sunset;9.053;1.18.5;1198;2(16)-1-5-6-7-0;04.01.17-2-SP-2650-A-1.20.5-J. BELLO
