Column1;Column2;Column3;Column4;[image];Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Hipódromo de Son Pardo 27-01-2021;Column18;Column19;Column20
Cuadra Kolev;;1;;HILLARY;;J. FLUXA;I. Nikolov;;2650 En4;;Rodeo D'ostal (fr)-Supernova;;2.312;1.18.2;;D-5(20)-7-0-D-4;13.01.21-D-SP-2150-A-0-J. FLUXA;;
Cuadra Son Quint;;2;;FRANC DE FONT;;E. PERPIÑAN;J. F. Piza;;2650 Cc6;;From Above (se)-Neu De Font;;3.750;1.18.0;;D(20)-3-3-1-3-4;01.01.21-D-SP-2150-A-0-E. PERPIÑAN;;
Sillas Menorca, S.l.;;3;;GEORGIA GE;;C. CRUELLAS;G. Cruellas;;2650 Ec5;;Renardo Bello (fr)-Helen Ge;;4.614;1.17.1;1.21.7;6(20)-0-D-0-0-4;13.01.21-6-SP-2150-A-1.18.3-C. CRUELLAS;;
Cuadra Veloz;;4;;GATO PEREZ;;A. VAQUER S.;A. Vaquer S.;;2650 Cc5;;Onyx Jiel (fr)-Espira Des Bosc;;4.833;1.16.8;;0-0-0(20)-7-6-3;17.01.21-0-MN-2375-A-0-B. BENNASAR;;
Cuadra Riera Veny C.b.;;5;;FILIGRANA CM;;J. RIERA S.;M. A. Riera V.;;2650 Ec6;;Olgado (fr)-Lina Axe (it);;3.446;1.18.0;1.18.0;0-D(20)-R-D-D-D;13.01.21-0-SP-2150-A-0-J. RIERA S.;;
Cuadra Son Mas Vell;;6;;HELI ABOVE;;B. MASCARO;J. A. Garcia;;2650 Ec4;;From Above (se)-Best Of Queen;;2.954;1.16.8;;7(20)-D-5-6-R-D;13.01.21-7-SP-2150-A-1.18.4-G. ANDREU;;
Scuderia Toscana;;7;;HERMIONNE;;A. FRONTERA;A. Frontera;;2650 Ec4;;Coktail Blai-Toscana Blai;;2.761;1.18.1;;5(20)-2-2-2-2-2;13.01.21-5-SP-2150-A-1.18.1-A. FRONTERA;;
Cuadra C'an Pou S.l.;;8;;GENERAL BIRD;;F. BENNASAR;M. Salleras;;2650 Cc5;;Zola Boko (se)-Molinera Bird;;3.808;1.16.7;;3(20)-5-2-1-1-D;13.01.21-3-SP-2150-A-1.17.9-F. BENNASAR;;
Cuadra M.i.m.;;9;;HOGWARTS EXPRESS;;A. RIERA B.;A. Riera B.;;2650 Cc4;;Athos D'ecajeul (fr)-Gesta Des Bosc;;2.568;1.18.8;;1(20)-2-5-6-D-D;17.01.21-1-MN-2375-A-1.20.8-A. RIERA B.;;
Cuadra Sa Fonda, S.l.;;10;;HAMMER BOKO;;J. BAUZA B.;G. Barcelo;;2650 Cc4;;Broadway Hall (us)-Underthesky;;3.142;1.17.5;;1(20)-0-3-3-6-R;13.01.21-1-SP-2150-A-1.19.0-G. BARCELO;;
Penya Es Trapassers;;11;;GWENDOLINE SAS;DP;B. LLOBET R.;B. Llobet R.;;2650 Ec5;;O'sullivan (fr)-Torina Sas;;4.978;1.17.1;1.17.4;1(20)-D-4-D-D-D;17.01.21-1-MN-2375-A-1.18.4-B. LLOBET R.;;
Peña Bonanza;;12;;ESTELLA VA I VE;;G. ANDREU;Mª. Riera M.;;2650 Ec7;;Ness Marceaux (fr)-Oda Prim;;4.861;1.19.4;1.23.9;(20)-D-0-D-2-3-3;29.11.20-D-MN-2050-A-0-B. LLOBET R.;;
Cuadra Can Garrit;;13;;GARRIDA A;;A. ALZAMORA;A. Alzamora;;2650 Ea5;;Olgado (fr)-Tinsella A;;4.179;1.17.0;;3(20)-0-D-0-D-D;17.01.21-3-MN-2375-A-1.19.1-Jme. FLUXA;;
Cuadra Ladil;;14;;GHOST SUMON;;Jme. FLUXA;J. Pocovi;;2650 Ca5;;Spirit Beji (fr)-Oceane Des Blaves (fr);;3.494;1.18.1;;4(20)-D-D-D-0-D;13.01.21-4-SP-2150-A-1.18.1-Jme. FLUXA;;
Instalaciones Andres Vich;;15;;GOBERNADOR CROWN;D4;A. VALLS;M. Vich C.;;2650 Cc5;;S J's Photo (us)-Lindys Spring (se);;3.168;1.17.8;;2(20)-0-0-2-D-3;13.01.21-2-SP-2150-A-1.17.8-A. VALLS;;
Cuadra Toni I Joan;;16;;GENNA BAMBINO;;M. RIERA B.;A. Vaquer S.;;2650 Ec5;;S J's Photo (us)-Genova;;2.222;1.17.8;;4(20)-3-R-4-7-2;17.01.21-4-MN-2375-A-1.21.0-M. RIERA B.;;
4ª CARRERA;;;;Premi SAINT-GALMIER (PREMIUM);;;;;;;;;;;;;;A las 11:45;
Al Trote Enganchado;;;;Distancia 2.650m.;;PLACA NARANJA - NUMERO NEGRO;;;Matrícula 38€;;;;Forfait 20% del premio;;;Cambio Conductor 18€;;;Autostart
;;;;5000€ en premios: 2.300 al 1º, 1.150 al 2º, 600 al 3º, 350 al 4º, 250 al 5º, 200 al 6º, 150 al 7º;;De 3 y más años, inscritos en el Stud Book Frances de 80.000 / 159.999,99 €.;;;;;;;;;;;;;
