Column1;Column2;Column3;Column4;[image];Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Hipódromo de Son Pardo 20-01-2021;Column18;Column19
Cuadra Ca'n Tanca;;2;;ENTRE NOUS TROIS (FR);;J. BAUZA B.;A. Adrover M.;;2650 Ec7;;Goetmals Wood (fr)-Quallas (fr);;101.356;1.14.7;1.15.2;(20)-4-6-6-5-0-0;30.12.20-4-SP-2150-A-1.16.0-J. BAUZA B.;
Jaime Tauler Tortell;;3;;DINKY BOY VISAIS (FR);;A. TUR;J. Tauler;;2650 Ca8;;Pad D'urzy (fr)-Pinky Girl (fr);;63.067;1.14.4;1.14.8;7-0(20)-0-7-3-3;13.01.21-7-SP-2650-A-1.17.3-A. TUR;
Andres Llabres Guasp;;4;;CAMANA (FR);D4;A. FRONTERA;A. Frontera;;2650 Ec9;;Opus Viervil (fr)-L'esperance (fr);;82.806;1.14.6;1.15.4;4(20)-7-0-5-0-0;13.01.21-4-SP-2650-A-1.17.2-A. FRONTERA;
Cuadra Toni I Joan;;5;;VIKING DU GOHLENN (FR);;A. VALLS;A. Janer R.;;2650 Cc12;;Let's Go Along (fr)-Kerale Du Niel (fr);;96.051;1.14.9;1.15.9;0(20)-7-4-4-2-3;06.01.21-0-SP-2650-A-0-J. RIERA S.;
Cuadra Ladil;;6;E1;DAILY CASH (FR);D4;S. POCOVI;J. Pocovi;;2650 Cc8;;Gogo (fr)-Quickly Victory (fr);;69.415;1.15.6;1.15.6;0-4(20)-5-2-4-0;13.01.21-0-SP-2650-A-0-S. POCOVI;
Hermanos Riera Vaquer;;7;;BRESIL (FR);;A. VAQUER S.;A. Vaquer S.;;2650 Cc10;;Oman (fr)-Quisaca (fr);;66.684;1.14.8;1.15.8;0-0(20)-3-4-3-4;13.01.21-0-SP-2650-A-0-G. RIERA;
Cuadra Ca'n Prim;;8;;BEAUJEU (FR);;A. RIERA B.;A. Riera B.;;2650 Cn10;;Look De Star (fr)-La Belle Victoire (fr);;76.051;1.14.5;1.15.6;3-2(20)-0-R-6-2;13.01.21-3-SP-2650-A-1.16.9-A. RIERA B.;
Rafel Oliver Ares;;9;;BACCHUS CHAMBRAY (FR);;J. RIERA S.;A. Vaquer S.;;2650 Ca10;;Petrus Du Bocage (fr)-La Loubjenka (fr);;112.770;1.14.3;;0(20)-D-D-D;06.01.21-0-SP-2650-A-0-G. RIERA;
Cuadra Ladil;;10;E1;COOL BARBES DU DON (FR);;Jme. FLUXA;J. Pocovi;;2650 Cc9;;Ludo De Castelle (fr)-Oasis Barbes (fr);;64.090;1.15.4;1.17.2;5-D(20)-D-1-D-D;13.01.21-5-SP-2650-A-1.17.2-Jme. FLUXA;
Hermanos Muntaner;;11;;BACCARAT DESBOIS (FR);;G. ANDREU;A. Vaquer S.;;2650 Cc10;;Jag De Bellouet (fr)-Platine Du Gade (fr);;77.686;1.16.0;1.16.0;6-3(20)-1-D-5-3;13.01.21-6-SP-2650-A-1.17.3-M. RIERA B.;
Cuadra Ca'n Duran;;12;;AMERICANO BELLO (FR);;B. MASCARO;P. Puigserver;;2650 Cc11;;Goetmals Wood (fr)-It's My Hope (fr);;90.534;1.16.1;1.15.1;1(20)-D-5-2-D-D;13.01.21-1-SP-2650-A-1.16.8-G. FUSTER;
Cuadra Carlitos;;13;;ALLIANCE DE BOUERE (FR);;I. VINENT;B. Salas;;2650 Ea11;;Lord Angot (fr)-Oisive Marancourt (fr);;92.218;1.14.7;1.16.6;0(20)-3-D-2-0-4;10.01.21-0-MN-2050-A-0-B. SALAS;
4ª CARRERA;;;;Premi EIXERIT GF (PREMIUM);;;;;;;;;;;;;;A las 18:25
Al Trote Enganchado;;;;Distancia 2.650m.;;PLACA AZUL - NUMERO BLANCO;;;Matrícula 34€;;;;Forfait 20% del premio;;;Cambio Conductor 18€;;Autostart
;;;;4500€ en premios: 2.070 al 1º, 1.036 al 2º, 540 al 3º, 314 al 4º, 226 al 5º, 180 al 6º, 134 al 7º;;De 4 y más años, nacionales de 7.000 / 12.999,99 €.;;;;;;;;;;;;
PROPIETARIO;Nº;;;CABALLO;He.;CONDUCTOR;ENTRENADOR;DIST;;SCE;ORIGEN;SUMAS;;R.Abs;R.Dist;CLASIF.;ULTIMA CARRERA;
Cuadra H. M.;;1;;GALACTIC;DA;G. ANDREU;P. Estelrich;;2650 Ca5;;He's A Gangster (se)-Oree Des Jacquets (fr);;12.415;1.15.7;1.16.0;(20)-6-5-5-0-4-0;30.12.20-6-SP-2650-A-1.18.1-J. C. ROTGER;
Cuadra Paris Grandchamp;;2;;FUM WEST;;B. MASCARO;J. Oliver R.;;2650 Cc6;;Dexter Tilly (se)-Valeria West;;10.714;1.16.2;1.16.2;D(20)-R-1-3-D-0;06.01.21-D-SP-2150-A-0-B. MASCARO;
Cuadra Ladil;;3;E1;HEREU DE LADIL;DA;Jme. FLUXA;J. Pocovi;;2650 Cc4;;Athos D'ecajeul (fr)-Samba De Ladil;;10.371;1.15.7;1.16.3;1(20)-1-1-2-3-1;06.01.21-1-SP-2650-A-1.17.2-Jme. FLUXA;
Cuadra C'an Pou S.l.;;4;;EBOLI DE COSTITX;;F. BENNASAR;J. Vich;;2650 Ec7;;Grant's Charger (us)-Huida Blai;;9.578;1.16.5;1.17.4;0(20)-0-D-0-0-0;06.01.21-0-SP-2650-A-0-F. BENNASAR;
Cuadra Sa Marina Slu;;5;;GOLD BLACK;;C. RIERA M.;C. Riera M.;;2650 Cn5;;Gran Campeon Sr-Valenta Twist;;12.570;1.15.7;1.17.4;5(20)-D-D-3-0-D;06.01.21-5-SP-2150-A-1.16.5-C. RIERA M.;
Cuadra Ca'n Tanca;;6;;EXPLOSIVE ATAC;;J. BAUZA B.;A. Adrover M.;;2650 Cn7;;Fast Photo (us)-Ultra Atac;;12.812;1.15.7;1.17.6;(20)-2-3(19)-1-3-1-1;22.11.20-2-SP-2200-A-1.15.9-J. BAUZA B.;
Antonio Llull Quetglas;;7;;FURIA DES NELLS;;G. RIERA;A. Massot;;2650 Ec6;;Daguet Rapide (it)-Neu Exotica;;9.378;1.16.5;1.17.6;D(20)-2-1-6-D-3;10.01.21-D-MN-2050-A-0-G. RIERA;
Cuadra Ladil;;8;E1;GALA DE LADIL;;S. POCOVI;J. Pocovi;;2650 Ec5;;Athos D'ecajeul (fr)-Samba De Ladil;;8.608;1.16.0;1.17.9;5(20)-D-3-D-3-4;06.01.21-5-SP-2650-A-1.17.9-S. POCOVI;
Cuadra Dos Perellons;;9;;EVER DOS;;P. ESTELRICH;P. Estelrich;;2650 Ca7;;Orateur (fr)-Olga Dos;;9.607;1.16.4;1.17.8;4(20)-6-0-4-0-0;06.01.21-4-SP-2650-A-1.17.8-P. ESTELRICH;
Cuadra Jg;;10;;GEL D'ABRIL JG;;B. JAUME;M. Jaume C.;;2650 Cc5;;Warren Boko (se)-Saura;;10.386;1.15.3;1.17.6;R(20)-3-1-0-1-5;06.01.21-R-SP-2650-A-0-B. JAUME;
Cuadra Rigo Ll;;11;;GUAPETA PR;D4;A. FRONTERA;A. Frontera;;2650 Ea5;;Treboli Spa-Jenma R;;10.072;1.15.1;1.16.4;R(20)-5-3-2-5-4;06.01.21-R-SP-2650-A-0-J. FORTEZA R.;
Cuadra Ca'n Duran;;12;;FROM DURAN;DP;O. PUIGSERVER;O. Puigserver;;2650 Cc6;;From Above (se)-Ultra Has;;10.562;1.16.0;1.16.4;R(20)-R-2-5-5-0;06.01.21-R-SP-2150-A-0-O. PUIGSERVER;
5ª CARRERA;;;;Premi GENGIS KHAN (PREMIUM);;;;;;;;;;;;;;A las 18:55
Al Trote Enganchado;;;;Distancia 2.150m.;;PLACA ROJA - NUMERO BLANCO;;;Matrícula 45€;;;;Forfait 20% del premio;;;Cambio Conductor 18€;;Autostart
;;;;6000€ en premios: 2.760 al 1º, 1.380 al 2º, 720 al 3º, 420 al 4º, 300 al 5º, 240 al 6º, 180 al 7º;;De 3 años, nacionales de libre inscripción. Clasificatoria al Gran Premi Nacional.;;;;;;;;;;;;
PROPIETARIO;Nº;;;CABALLO;He.;CONDUCTOR;ENTRENADOR;DIST;;SCE;ORIGEN;SUMAS;;R.Abs;R.Dist;CLASIF.;ULTIMA CARRERA;
Cuadra Jg;;1;;IRA JG;;F. BENNASAR;M. Salleras;;2150 Ec3;;Renardo Bello (fr)-Saura;;3.074;1.15.7;1.20.1;(20)-3-5-1-1-5;13.12.20-3-SP-1650-A-1.15.7-F. BENNASAR;
Cuadra Son Mas Vell;;2;;INVICTUS GRIF;;B. MASCARO;J. A. Garcia;;2150 Cc3;;Libeccio Grif (it)-Neve Del Rio (it);;2.002;1.16.1;1.18.2;7(20)-4-6-7-4-7;06.01.21-7-SP-2150-A-1.18.7-B. MASCARO;
Cuadras Morro;;3;E1;IVANA DE FONT;;A. POU H.;A. Prats E.;;2150 Ec3;;Love You (fr)-Mel De Font;;11.058;1.14.6;1.17.8;2(20)-1-R-1-5-2;06.01.21-2-SP-2150-A-1.17.8-A. POU H.;
Cuadra Es Sestadors De Son Roca C.b.;;4;;IT HES LOVE RS;D4;C. RIERA M.;A. Prats E.;;2150 Cc3;;Gristan Mar-Valeunkilate Tirety;;4.974;1.15.5;1.18.6;0(20)-7-2-6-5-0;06.01.21-0-SP-2150-A-0-C. RIERA M.;
Cuadra Tia Joana;;5;;INDEPENDENT;;M. BOSCH;M. Bosch;;2150 Cc3;;From Above (se)-Perruche D'embassy (fr);;1.952;1.15.9;1.17.7;(20)-5-D-3-3-5-D;13.12.20-5-SP-1650-A-1.15.9-M. BOSCH;
Cuadras Morro;;6;E1;IVAN DE FONT;;A. VALLS;A. Prats E.;;2150 Cc3;;Love You (fr)-Joeann Nicc (se);;6.293;1.15.9;1.17.6;1(20)-2-4-2-D-1;06.01.21-1-SP-2150-A-1.17.6-A. VALLS;
Cuadras Vinent;;7;;INSTINT DE CLIDE;;I. VINENT;M. Genovart A.;;2150 Cc3;;Silver Mixo-Sireneta Mo;;3.195;1.16.2;1.17.4;3(20)-3-7-1-1-1;06.01.21-3-SP-2150-A-1.18.1-I. VINENT;
Cuadras Morro;;8;E1;ITU DE FONT;;J. CARRERAS P.;A. Prats E.;;2150 Cc3;;Zola Boko (se)-Neu De Font;;3.722;1.17.4;1.17.4;D(20)-1-D-2-2-1;06.01.21-D-SP-2150-A-0-J. CARRERAS P.;
Cuadra Son Cosmet;;9;;INDIO;;D. OLIVER;D. Oliver;;2150 Cc3;;Maharajah (se)-Tauba;;794;1.19.4;1.19.4;(20)-4-D-1;30.12.20-4-SP-2150-A-1.19.4-D. OLIVER;
Peña Bonanza;;10;E2;IL CAPO MAR;;G. ANDREU;Mª. Riera M.;;2150 Cc3;;Mago D'amore (it)-Lempicka Mb (it);;1.384;1.18.2;1.18.2;4(20)-1-2-D-D;06.01.21-4-SP-2150-A-1.18.2-G. ANDREU;
Peña Bonanza;;11;E2;ITEAR;;Mª. RIERA M.;Mª. Riera M.;;2150 Cc3;;Quatrain (fr)-Untes Cg;;1.380;1.17.0;1.20.7;(20)-0-1-1;13.12.20-0-SP-1650-A-0-G. ANDREU;
Cuadra Es Pou Florit S.l.;;12;;IVORY DE LYAL;;G. RIERA;G. Riera;;2150 Cc3;;Silver Mixo-Unica D'escafi;;1.128;1.17.9;1.17.9;(20)-0-0-3-4-3-2;23.12.20-0-SP-2150-A-0-J. BAUZA B.;
Cuadras Cafe 1990;;13;;IKER SAS;;M. MATAMALAS;M. Genovart A.;;2150 Ca3;;Spirit Beji (fr)-Beverly Sas (fr);;1.044;1.17.5;1.18.3;5(20)-7-D-D-3-2;06.01.21-5-SP-2150-A-1.18.3-M. MATAMALAS;
Penya Silver Mixo;;14;;ILOVE DURAN;;A. FRONTERA;O. Puigserver;;2150 Ec3;;One Too Many (se)-Ultra Has;;1.094;1.18.3;1.18.3;6(20)-5-D-4-D-1;06.01.21-6-SP-2150-A-1.18.7-A. FRONTERA;
;;;;;;;;;;;;;;;;;[image];
