1_29-05-2016,4,5,0,1.0,2.0,3.0,,,,,,,,,,,,,,
1_29-08-2013,0,2,3,1.0,4.0,,,,,,,,,,,,,,,
1_29-08-2016,1,0,3,5.0,2.0,4.0,,,,,,,,,,,,,,
1_3-09-2016,2,0,1,3.0,4.0,,,,,,,,,,,,,,,
1_30-05-2014,1,3,2,0.0,,,,,,,,,,,,,,,,
1_30-05-2021,3,1,2,5.0,0.0,4.0,,,,,,,,,,,,,,
1_30-08-2012,2,4,3,1.0,0.0,,,,,,,,,,,,,,,
1_30-11-2014,0,8,2,7.0,1.0,5.0,3.0,6.0,4.0,9.0,,,,,,,,,,
1_31-01-2021,1,3,0,4.0,2.0,,,,,,,,,,,,,,,
1_31-03-2019,6,0,8,4.0,5.0,3.0,7.0,1.0,2.0,,,,,,,,,,,
1_4-11-2018,4,6,0,2.0,3.0,1.0,7.0,8.0,5.0,,,,,,,,,,,
1_5-06-2016,1,2,3,0.0,,,,,,,,,,,,,,,,
1_7-07-2012,2,3,4,1.0,0.0,,,,,,,,,,,,,,,
1_7-07-2014,1,6,2,3.0,0.0,5.0,4.0,,,,,,,,,,,,,
1_9-04-2017,3,0,4,1.0,2.0,5.0,,,,,,,,,,,,,,
1_9-10-2016,2,3,1,0.0,,,,,,,,,,,,,,,,
2_01-01-2017,2,3,1,5.0,4.0,0.0,,,,,,,,,,,,,,
2_01-08-2013,6,1,5,7.0,3.0,8.0,4.0,9.0,0.0,2.0,,,,,,,,,,
2_02-07-2011,3,1,4,2.0,0.0,5.0,7.0,6.0,,,,,,,,,,,,
2_02-11-2014,2,8,3,12.0,7.0,10.0,9.0,4.0,0.0,11.0,5.0,1.0,6.0,,,,,,,
2_03-06-2012,0,2,3,5.0,1.0,4.0,,,,,,,,,,,,,,
2_03-07-2016,8,2,0,4.0,7.0,3.0,1.0,5.0,6.0,,,,,,,,,,,
2_03-07-2020,0,4,3,8.0,7.0,6.0,5.0,9.0,1.0,2.0,,,,,,,,,,
2_04-05-2014,4,3,1,0.0,5.0,2.0,,,,,,,,,,,,,,
2_05-01-2014,0,6,5,2.0,1.0,4.0,3.0,,,,,,,,,,,,,
2_05-06-2021,5,2,7,4.0,6.0,0.0,3.0,1.0,,,,,,,,,,,,
2_05-08-2011,3,5,1,0.0,6.0,2.0,8.0,7.0,4.0,,,,,,,,,,,
2_06-05-2011,1,7,2,3.0,4.0,5.0,6.0,0.0,,,,,,,,,,,,
2_06-08-12,2,9,4,0.0,11.0,8.0,5.0,6.0,7.0,3.0,10.0,1.0,,,,,,,,
2_06-12-2015,3,2,4,0.0,1.0,,,,,,,,,,,,,,,
2_08-01-2012,7,0,1,5.0,3.0,8.0,2.0,6.0,4.0,,,,,,,,,,,
2_09-03-2014,4,2,1,5.0,0.0,3.0,,,,,,,,,,,,,,
2_09-10-2011,5,0,7,4.0,2.0,6.0,1.0,3.0,,,,,,,,,,,,
2_1-09-2014,11,5,7,13.0,1.0,4.0,8.0,10.0,0.0,12.0,6.0,9.0,2.0,3.0,,,,,,
2_10-01-2016,1,2,6,0.0,7.0,5.0,3.0,4.0,,,,,,,,,,,,
2_10-04-2016,4,2,12,13.0,8.0,3.0,11.0,7.0,9.0,0.0,1.0,6.0,5.0,10.0,,,,,,
2_10-08-2012,3,4,0,1.0,2.0,,,,,,,,,,,,,,,
2_10-09-2016,4,7,1,6.0,0.0,3.0,2.0,5.0,,,,,,,,,,,,
2_11-05-2012,7,3,10,4.0,9.0,0.0,1.0,5.0,6.0,2.0,8.0,,,,,,,,,
2_11-07-2016,2,4,1,7.0,6.0,0.0,3.0,5.0,,,,,,,,,,,,
2_12-01-2014,4,6,7,2.0,5.0,3.0,1.0,0.0,,,,,,,,,,,,
2_12-08-2011,1,4,2,3.0,0.0,,,,,,,,,,,,,,,
2_13-01-2013,4,2,0,1.0,3.0,,,,,,,,,,,,,,,
2_13-05-2012,5,6,3,2.0,4.0,1.0,0.0,,,,,,,,,,,,,
2_13-07-2014,0,6,1,2.0,5.0,4.0,3.0,7.0,,,,,,,,,,,,
2_13-11-2011,4,1,0,7.0,11.0,3.0,2.0,6.0,8.0,9.0,5.0,10.0,,,,,,,,
2_13-11-2020,6,3,4,1.0,2.0,5.0,7.0,0.0,8.0,,,,,,,,,,,
2_14-06-2012,4,1,5,0.0,2.0,3.0,,,,,,,,,,,,,,
2_14-07-2012,1,4,2,5.0,3.0,6.0,0.0,,,,,,,,,,,,,
2_14-10-2012,1,0,3,5.0,2.0,4.0,,,,,,,,,,,,,,
2_15-04-2012,12,5,6,11.0,1.0,7.0,0.0,10.0,9.0,3.0,2.0,8.0,4.0,,,,,,,
2_15-08-2011,4,3,0,5.0,2.0,1.0,,,,,,,,,,,,,,
2_15-08-2012,7,2,5,9.0,3.0,1.0,10.0,8.0,6.0,0.0,4.0,,,,,,,,,
2_15-08-2016,2,6,0,4.0,1.0,3.0,7.0,5.0,,,,,,,,,,,,
2_15-12-2013,6,8,1,0.0,9.0,2.0,7.0,4.0,3.0,5.0,,,,,,,,,,
2_16-04-2017,6,8,10,3.0,0.0,9.0,7.0,1.0,2.0,5.0,4.0,,,,,,,,,
2_16-06-2021,3,6,2,5.0,4.0,1.0,8.0,0.0,7.0,,,,,,,,,,,
2_16-10-2011,8,6,2,5.0,4.0,1.0,7.0,3.0,0.0,,,,,,,,,,,
2_16-10-2020,0,6,3,5.0,4.0,7.0,2.0,1.0,,,,,,,,,,,,
2_17-04-2011,2,4,1,7.0,9.0,8.0,0.0,6.0,10.0,13.0,3.0,11.0,5.0,12.0,,,,,,
2_17-06-2020,3,6,7,2.0,0.0,4.0,1.0,5.0,,,,,,,,,,,,
2_17-08-2012,1,5,2,4.0,3.0,0.0,,,,,,,,,,,,,,
2_17-09-2017,12,5,1,3.0,16.0,13.0,4.0,2.0,8.0,7.0,6.0,0.0,10.0,14.0,15.0,11.0,9.0,,,
2_17-09-2020,3,1,0,4.0,2.0,,,,,,,,,,,,,,,
2_17-11-2013,0,8,7,1.0,5.0,4.0,9.0,3.0,6.0,2.0,,,,,,,,,,
2_18-05-2012,0,3,4,5.0,1.0,6.0,8.0,7.0,2.0,,,,,,,,,,,
2_19-01-2020,1,3,4,6.0,5.0,2.0,0.0,,,,,,,,,,,,,
2_19-02-2012,5,2,4,1.0,12.0,3.0,0.0,11.0,6.0,7.0,10.0,8.0,9.0,,,,,,,
2_19-02-2017,3,5,4,1.0,2.0,0.0,6.0,,,,,,,,,,,,,
2_19-03-2017,8,4,9,7.0,2.0,5.0,3.0,6.0,0.0,1.0,10.0,,,,,,,,,
2_19-06-2011,1,2,0,4.0,7.0,5.0,6.0,3.0,,,,,,,,,,,,
2_19-08-2012,0,9,5,1.0,8.0,2.0,3.0,7.0,4.0,6.0,10.0,,,,,,,,,
2_19-10-2014,2,1,0,3.0,,,,,,,,,,,,,,,,
