5_12-01-2014,DEVIL BLACK,7,4.0,57.0,A.FIORI,ACASIÑA,"GOMEZ, I.",7,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1000,HIERBA
3_22-12-2013,DEVIL BLACK,6,3.0,58.0,A.FIORI,ACASIÑA,"GOMEZ, I.",9,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,HIERBA
2_13-01-2013,DEVIL BLACK,2,3.0,58.0,A.FIORI,ACASIÑA,"GOMEZ, I.",5,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1200,HIERBA
5_15-12-2013,DEVIL BLACK,4,3.0,58.0,A.FIORI,ACASIÑA,"GOMEZ, I.",5,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1000,HIERBA
4_05-11-2015,DIM DAM,2,4.0,60.0,A.FIORI,ACASIÑA,J. LOPEZ,4,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,ARENA
3_26-11-2015,DIM DAM,4,4.0,56.0,A.FIORI,ACASIÑA,J. LOPEZ,8,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,ARENA
5_30-06-2012,DON JEUMONT (POR),6,4.0,59.0,A.FIORI,ACASIÑA,J. CALDERON,2,HIPODROMO COSTA DEL SOL,2100,ARENA
4_22-12-2013,DUENDECILLO,8,3.0,56.0,A.FIORI,ACASIÑA,"GOMEZ, I.",2,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,HIERBA
4_02-07-2011,ESQUIMO GREEN (FR),5,5.0,54.0,A.FIORI,ACASIÑA,B. RAMA,1,HIPODROMO COSTA DEL SOL,2200,ARENA
4_27-01-2013,ESQUIO,7,6.0,59.0,A.FIORI,ACASIÑA,"LOPERA, J.C.",3,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1800,HIERBA
2_09-07-2011,EUROBETIS,8,5.0,56.5,A.FRESU,ACASIÑA,E. GALLARDO,7,HIPODROMO COSTA DEL SOL,1800,ARENA
3_28-07-2012,EUROPAMPLONA,5,3.0,57.0,A.FRESU,ACASIÑA,J. C. MARTINEZ,9,HIPODROMO COSTA DEL SOL,1600,ARENA
3_21-07-2012,EUROPAMPLONA,5,3.0,54.0,A.FRESU,ACASIÑA,J. C.MARTINEZ,5,HIPODROMO COSTA DEL SOL,2000,ARENA
5_09-12-12,EXPATBET (GB),3,3.0,55.5,A.FRESU,ACASIÑA,P. HALEY,5,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2100,HIERBA
3_19-05-2016,GOLDING BOY (FR),8,6.0,61.0,A.FRESU,ACASIÑA,G. RODRIGUEZ,6,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1900,ARENA
3_28-02-2016,GOLDING BOY (FR),2,6.0,62.0,A.FRESU,ACASIÑA,G. RODRIGUEZ,7,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1800,HIERBA
4_20-01-2013,GOLDING BOY (FR),10,3.0,55.0,A.FUSCO,ACASIÑA,"LOPERA, J.C.",1,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1600,HIERBA
2_18-12-2016,GOLDING BOY (FR),4,6.0,55.5,A.FUSCO,ACASIÑA,G. RODRIGUEZ,1,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1600,HIERBA
4_5-02-2012,HANDSOME HUGO,4,4.0,52.0,A.FUSCO,ACASIÑA,J. C. LOPERA,12,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1800,HIERBA
4_14-02-2016,HAPPY FEW (GB),11,8.0,62.0,A.G.DELGADO,ACASIÑA,R.H. HUAYAS,3,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,HIERBA
4_24-01-2016,HAPPY FEW (GB),3,8.0,54.5,A.G.DELGADO,ACASIÑA,R.H. HUAYAS,10,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1600,HIERBA
4_28-06-2013,ILLIZMIT (FR),2,8.0,54.0,A.G.DELGADO,ACASIÑA,"MARTINS, T",7,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1900,ARENA
3_20-01-2013,ILLIZMIT (FR),7,8.0,61.0,A.G.DELGADO,ACASIÑA,"LOPERA, J.C.",7,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2100,HIERBA
5_28-07-2012,ILUSIONISTA,7,6.0,58.0,A.G.DELGADO,ACASIÑA,I. GOMEZ,1,HIPODROMO COSTA DEL SOL,2100,ARENA
3_14-07-2012,ILUSIONISTA,2,6.0,62.0,A.G.DELGADO,ACASIÑA,I. GOMEZ,5,HIPODROMO COSTA DEL SOL,2200,ARENA
5_30-12-2012,INDIANO,1,4.0,59.5,A.G.DELGADO,ACM,"ARIZKORRETA, G.",2,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1600,HIERBA
4_30-06-2012,JUAN DANIEL,11,3.0,52.0,A.G.DELGADO,ACM,J. CALDERON,9,HIPODROMO COSTA DEL SOL,1400,ARENA
3_06-12-2015,JUAN DANIEL,4,6.0,54.0,A.G.DELGADO,ACM,J. CALDERON,6,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1800,HIERBA
3_24-01-2016,JUAN DANIEL,6,7.0,61.0,A.G.DELGADO,ACM,J. CALDERON,4,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1600,HIERBA
4_10-01-2016,JUAN DANIEL,7,7.0,52.5,A.G.DELGADO,ACM,J. CALDERON,3,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1400,HIERBA
4_28-02-2016,JUAN DANIEL,4,7.0,55.0,A.G.DELGADO,ADELAI,J. CALDERON,12,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1800,HIERBA
1_14-02-2016,JUAN DANIEL,2,7.0,62.0,A.G.DELGADO,ADELAI,J. CALDERON,3,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,HIERBA
2_29-04-2011,KALINEA (GER),3,4.0,53.0,A.G.DELGADO,ADELAI,"RODRIGUEZ, J.A.",4,HIPODROMO LA ZARZUELA,1900,ARENA-FIBRA
1_28-02-2016,KIRI SUNRISE (IRE),3,3.0,56.0,A.G.DELGADO,ADELAI,I. LOPEZ,1,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1400,HIERBA
4_02-12-2012,LONGUEIRON,11,3.0,54.0,A.G.DELGADO,ADELAI,J. C. LOPERA,4,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2100,HIERBA
4_17-01-2016,MAGIC POMMIER (GB),9,6.0,55.0,A.G.DELGADO,ADELAI,I. LOPEZ,2,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1800,HIERBA
2_14-07-2012,MAYERLING (FR),4,4.0,62.0,A.GAVILAN,ADELAI,I. GOMEZ,6,HIPODROMO COSTA DEL SOL,2000,ARENA
1_7-07-2012,MISS CORONITA,3,4.0,53.0,A.GOMEZ,ADELAI,O. ANAYA,4,HIPODROMO COSTA DEL SOL,2000,ARENA
4_05-05-2016,MONTANCHEZ (IRE),5,3.0,56.0,A.GOMEZ,ADELAI,J.A. RODRIGUEZ,8,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,ARENA
4_29-01-2017,NEMERINA (FR),10,5.0,57.0,A.GOMEZ,ADELAI,A. CARRASCO,6,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2100,HIERBA
4_09-07-2011,PARTOVIA,11,3.0,53.5,A.GOMEZ,ADELAI,J. C. LOPERA,11,HIPODROMO COSTA DEL SOL,1300,ARENA
5_23-12-12,PASIEGA (IRE),5,3.0,55.0,A.GOMEZ,ADELAI,"MAROTO, J.L.",3,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2100,HIERBA
5_05-05-2016,PERSIAN PINK,6,4.0,56.0,A.GOMEZ,ADELAI,J. SALGUERO,5,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1300,ARENA
2_02-12-2012,PETITE VISION,6,2.0,57.5,A.GOMEZ,ADELAI,J. C. LOPERA,14,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,HIERBA
1_30-12-2012,PETITE VISION,1,2.0,58.0,A.GOMEZ,ADELAI,"LOPERA, J.C.",6,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,HIERBA
1_28-07-2012,PETITE VISION,2,2.0,55.5,A.GOMEZ,ADELAI,J. C. LOPERA,6,HIPODROMO COSTA DEL SOL,1400,ARENA
5_20-01-2013,PETITE VISION,4,3.0,55.5,A.GOMEZ,ADELAI,"LOPERA, J.C.",4,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1800,HIERBA
5_13-01-2013,PORQUENOTECALLAS (IRE),2,7.0,57.5,A.GOMEZ,ADELAI,"OSORIO, J.M.",2,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2200,HIERBA
3_15-01-2012,RAMALLAH,7,4.0,59.0,A.GOMEZ,ADRIANA,I. GOMEZ,5,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2100,HIERBA
3_05-05-2016,SANPEDER (IRE),5,5.0,59.0,A.GOMEZ,ADRIANA,M. TELLINI,6,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2100,ARENA
1_10-01-2016,SEL VISINFEEL,7,6.0,58.5,A.GOMEZ,ADRIANA,D. DEL BARRIO,1,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,3000,HIERBA
1_14-07-2012,SIR PEPO,3,2.0,59.0,A.GOMEZ,ADRIANA,J. SALGUERO,1,HIPODROMO COSTA DEL SOL,1200,ARENA
1_30-06-2012,SIR PEPO,1,2.0,55.0,A.GOMEZ,ADRIANA,J. SALGUERO,4,HIPODROMO COSTA DEL SOL,1200,ARENA
4_22-10-2015,SIR PEPO,7,5.0,62.0,A.GOMEZ,ADRIANA,J. SALGUERO,6,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2200,ARENA
5_22-10-2015,SMOKIE JOE (IRE),4,7.0,56.0,A.GOMEZ,ADRIANA,E. IVANOVA,6,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1300,ARENA
3_09-07-2011,SUISDIVIN (GB),8,5.0,52.0,A.GOMEZ,ADRIANA,B. RAMA,8,HIPODROMO COSTA DEL SOL,1800,ARENA
4_26-01-2014,SUPERBONI (FR),10,6.0,59.0,A.GOMEZ,ADRIANA,"LOPEZ, J.",9,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,HIERBA
3_13-01-2013,SUPERBONI (FR),5,5.0,54.0,A.GOMEZ,ADRIANA,"LOPEZ, J.",8,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,HIERBA
5_5-02-2012,TASHQEEL (GB),3,4.0,57.0,A.GOMEZ,ADRIANA,O. ANAYA,1,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1600,HIERBA
5_27-01-2013,TASHQEEL (GB),7,5.0,57.0,A.GOMEZ,AFRICA,"ANAYA, O.",8,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1600,HIERBA
