3_29-07-2011,ACCOMPLISH (GB),4,9.0,59.0,R.H.HUAYAS,AIRESDEDOÑANA,E.OLGADO,3,HIPODROMO COSTA DEL SOL,1800,ARENA
3_15-08-2012,ACHTUNG,7,4.0,59.0,J.GROSJEAN,ENALTO,R.LOPEZ,8,HIPODROMO DE SAN SEBASTIAN,2400,HIERBA
3_15-08-2015,ACHTUNG,3,7.0,59.0,J.L.MARTINEZ,ENALTO,J.LOPEZ,1,HIPODROMO DE SAN SEBASTIAN,2400,HIERBA
2_21-07-2014,ACHTUNG,1,6.0,64.0,R.SOUSA,ENALTO,J.LOPEZ,5,HIPODROMO DE SAN SEBASTIAN,3000,HIERBA
5_24-06-2012,ACHTUNG,5,4.0,60.0,B.FAYOS,ENALTO,R.LOPEZ,6,HIPODROMO LA ZARZUELA,2500,HIERBA
1_17-04-2011,ACHTUNG,4,3.0,57.0,J.L.MARTINEZ,ENALTO,R.LOPEZ,10,HIPODROMO LA ZARZUELA,2200,HIERBA
4_12-06-2011,ACHTUNG,4,3.0,57.0,J.L.MARTINEZ,ENALTO,R.LOPEZ,8,HIPODROMO LA ZARZUELA,2100,HIERBA
5_05-01-2014,ACHTUNG,1,6.0,58.0,M.GOMES,ENALTO,J.LOPEZ,4,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2800,HIERBA
5-05-01-2014,ACHTUNG,1,6.0,58.0,M.GOMES,ENALTO,J.LOPEZ,4,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2800,HIERBA
3_25-05-2014,ACHTUNG,5,6.0,56.0,M.GOMES,ENALTO,J.LOPEZ,6,HIPODROMO LA ZARZUELA,3000,HIERBA
3_30-11-2014,ACHTUNG,1,6.0,56.0,M.GOMES,ENALTO,J.LOPEZ,6,HIPODROMO LA ZARZUELA,4000,HIERBA
5_26-10-2014,ACHTUNG,2,6.0,58.0,M.GOMES,ENALTO,J.LOPEZ,3,HIPODROMO LA ZARZUELA,2400,HIERBA
3_02-10-2011,ACHTUNG,1,3.0,58.0,O.O.URBINA,ENALTO,R.LOPEZ,2,HIPODROMO LA ZARZUELA,2100,HIERBA
4_22-04-2012,ACHTUNG,6,4.0,58.0,O.O.URBINA,ENALTO,R.LOPEZ,6,HIPODROMO LA ZARZUELA,2100,HIERBA
5_20-05-2012,ACHTUNG,5,4.0,58.0,O.O.URBINA,ENALTO,R.LOPEZ,1,HIPODROMO LA ZARZUELA,3000,HIERBA
5_08-01-2012,ACHTUNG,2,4.0,59.0,V.JANACEK,ENALTO,R.LOPEZ,9,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2800,HIERBA
1_15-08-2012,ACORAN CANARIAS (GB),6,2.0,55.0,J.CROCQUEVIEILLE,GRBOLAÑOSGRCANARIA,E.LEON,7,HIPODROMO DE SAN SEBASTIAN,1400,HIERBA
5_11-07-2013,ACORAN CANARIAS (GB),1,3.0,60.5,J.L.MARTINEZ,GRBOLAÑOSGRCANARIA,E.LEON,10,HIPODROMO LA ZARZUELA,1900,ARENA-FIBRA
1_18-12-2016,ACORAZADO POTEMKIN,5,3.0,55.0,SRTA.ALONSO.B,LYJAALONSO,J.LOPEZ,2,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,2100,HIERBA
5_01-01-2017,ACORAZADO POTEMKIN,4,4.0,56.0,V.M.VALENZUELA,LYJAALONSO,J.LOPEZ,5,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,ARENA
4_4-05-2017,ACQUITTAL (GB),5,5.0,54.5,V.M.VALENZUELA,IVANLOPEZRACING,I.LOPEZ,11,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1400,ARENA
4_14-02-2016,ACQUITTAL (GB),5,4.0,58.0,N.DE.JULIAN,MALLOWGRANCANARIA,I.LOPEZ,2,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1500,HIERBA
1_26-11-2015,ACQUITTAL (GB),7,3.0,57.5,SRTA.ALONSO.B,MALLOWGRANCANARIA,I.LOPEZ,8,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1200,ARENA
2_10-01-2016,ACQUITTAL (GB),5,4.0,58.5,SRTA.MORENO.O,MALLOWGRANCANARIA,I.LOPEZ,4,GRAN HIPODROMO DE ANDALUCIA JAVIER PIÑAR HAFNER,1400,HIERBA
4_05-06-2021,ADAAYLIGHT DANCER (IRE),5,3.0,57.0,R.RAMOS,MADMEN,G.ARIZKORRETA,10,HIPODROMO LA ZARZUELA,2400,HIERBA
3_16-05-2021,ADAAYLIGHT DANCER (IRE),3,3.0,55.5,V.JANACEK,MADMEN,G.ARIZKORRETA,5,HIPODROMO LA ZARZUELA,1800,HIERBA
